,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
212,Jiazi,75,CN,1577731592,100,19.61,110.49,69.8,8.95
213,Nikolskoye,90,RU,1577731594,93,59.7,30.79,41.0,13.42
214,Tiksi,100,RU,1577731595,86,71.64,128.87,-22.02,10.02
215,Lorengau,16,PG,1577731596,73,-2.02,147.27,82.27,5.7
216,Laguna,40,BZ,1577731597,70,16.17,-88.94,86.0,4.7
217,Hofn,1,IS,1577731598,74,64.25,-15.21,28.4,5.82
218,Kadhan,0,PK,1577731600,16,24.48,68.99,59.45,9.13
219,Alta Floresta,40,BR,1577731601,62,-9.87,-56.08,89.6,4.7
220,Nadaun,60,IN,1577731602,42,31.78,76.34,44.46,0.92
221,Waterloo,48,SL,1577731581,44,8.34,-13.07,89.26,3.0
222,Bambous Virieux,75,MU,1577731605,94,-20.34,57.76,79.0,27.51
223,Kjollefjord,75,NO,1577731606,68,70.95,27.35,28.4,28.86
224,Flinders,0,AU,1577731609,100,-34.58,150.85,70.0,12.46
225,Severo-Kurilsk,96,RU,1577731610,87,50.68,156.12,23.76,8.68
226,Fomboni,100,KM,1577731611,79,-12.28,43.74,84.04,12.19
227,Boa Vista,75,BR,1577731356,49,2.82,-60.67,89.6,11.41
228,Haines Junction,99,CA,1577731613,97,60.75,-137.51,21.63,10.04
229,Araouane,42,ML,1577731615,12,18.9,-3.53,70.99,10.74
230,San Quintin,3,PH,1577731616,89,17.54,120.52,72.19,4.36
231,Parana,75,BR,1577731617,70,-7.52,-72.89,87.8,6.93
232,Dikson,100,RU,1577731618,91,73.51,80.55,11.95,28.7
233,Ginir,0,ET,1577731620,49,7.14,40.71,59.45,5.12
234,Petropavl,98,KZ,1577731621,92,54.87,69.13,-7.71,2.68
235,Carnarvon,84,ZA,1577731622,14,-30.97,22.13,80.46,15.46
236,Dakar,30,SN,1577731459,54,14.69,-17.45,91.4,11.41
237,Vardo,40,US,1577731625,81,39.62,-77.74,60.01,8.05
238,Milkovo,24,BG,1577731627,55,41.53,24.68,44.01,11.41
239,Uni,87,RU,1577731629,91,57.75,51.49,12.87,14.38
240,San Andres,19,PH,1577731630,90,13.32,122.68,74.8,6.46
241,Coahuayana,0,MX,1577731631,34,18.62,-100.35,89.55,2.55
242,Carutapera,100,BR,1577731633,80,-1.2,-46.02,80.91,14.52
243,Denpasar,20,ID,1577731634,78,-8.65,115.22,82.4,2.24
244,Handan,0,CN,1577731635,19,36.58,114.48,17.49,3.4
245,Bialogard,33,PL,1577731636,85,54.01,15.99,37.99,13.76
246,Payson,90,US,1577731638,73,40.04,-111.73,32.0,0.76
247,North Bend,90,US,1577731639,100,43.41,-124.22,48.99,3.09
248,Vaasa,88,FI,1577731640,76,63.1,21.62,39.2,16.11
249,Palia Kalan,26,IN,1577731642,49,28.45,80.58,48.56,2.86
250,Bandarbeyla,2,SO,1577731643,83,9.49,50.81,79.45,19.24
251,Egvekinot,0,RU,1577731644,89,66.32,-179.17,-27.09,10.2
252,Wuxi,75,CN,1577731646,66,31.58,120.3,37.0,16.73
253,Lagoa,0,PT,1577731648,71,37.14,-8.45,57.2,5.82
254,Sijunjung,68,ID,1577731650,97,-0.69,100.95,70.93,1.45
255,Kristiansund,75,NO,1577731651,81,63.12,7.73,42.8,26.4
256,Nanortalik,0,GL,1577731652,66,60.14,-45.24,25.29,16.35
257,Narsaq,5,GL,1577731654,56,60.91,-46.05,15.8,4.7
258,Saint-Georges,100,CA,1577731655,68,46.12,-70.67,26.01,8.99
259,Sidi Ali,0,DZ,1577731656,76,36.1,0.42,50.27,4.47
260,Lewiston,90,US,1577731582,85,44.1,-70.21,27.0,9.17
261,East London,40,ZA,1577731658,88,-33.02,27.91,68.0,9.17
262,Kondinskoye,0,RU,1577731660,84,59.65,67.41,-4.0,10.65
263,San Cristobal,100,HN,1577731661,51,14.68,-86.92,82.29,4.09
264,Namibe,100,AO,1577731662,91,-15.19,12.15,73.98,7.56
265,Dengzhou,0,CN,1577731664,25,32.69,112.08,31.82,12.86
266,Chimbote,6,PE,1577731668,58,-9.08,-78.59,79.25,11.25
267,Teguise,0,ES,1577731669,77,29.06,-13.56,68.0,11.41
268,Lasa,75,CY,1577731671,67,34.92,32.53,62.6,20.8
269,Adrar,0,DZ,1577731672,39,27.87,-0.29,60.8,9.17
270,Katsuura,75,JP,1577731673,76,33.93,134.5,57.2,12.75
271,Ribeira Grande,40,PT,1577731674,67,38.52,-28.7,62.6,19.46
272,Hami,4,CN,1577731676,39,42.84,93.51,17.47,3.38
273,Port Keats,100,AU,1577731677,78,-14.25,129.55,84.58,5.53
274,Dingzhou,0,CN,1577731678,46,38.51,115.0,10.4,2.24
275,Patan,20,NP,1577731679,86,27.67,85.33,41.0,4.68
276,Khatanga,36,RU,1577731680,89,71.98,102.47,-25.83,8.28
277,Ventspils,90,LV,1577731682,100,57.39,21.56,44.6,19.46
278,Sioux Lookout,90,CA,1577731683,78,50.1,-91.92,17.6,6.93
279,Rorvik,75,NO,1577731684,81,64.86,11.24,42.8,24.16
280,Ilulissat,75,GL,1577731686,56,69.22,-51.1,14.0,11.41
281,Mnogovershinnyy,100,RU,1577731689,97,53.94,139.92,-10.23,2.93
282,Mumford,0,GH,1577731690,70,5.26,-0.76,82.4,8.81
283,Hambantota,40,LK,1577731691,100,6.12,81.12,77.0,3.36
284,Provideniya,0,RU,1577731692,84,64.42,-173.23,-21.73,9.28
285,Opoczno,100,PL,1577731694,71,51.38,20.29,43.0,18.39
286,Bowling Green,90,US,1577731442,69,36.99,-86.44,46.4,10.29
287,Aklavik,75,CA,1577731696,68,68.22,-135.01,-14.8,2.24
288,San Clemente,40,US,1577731532,35,33.43,-117.61,61.0,4.7
289,Salalah,75,OM,1577731699,88,17.01,54.1,77.0,3.36
290,Pacifica,1,US,1577731700,62,37.61,-122.49,55.4,8.05
291,Saryozek,100,KZ,1577731701,98,44.36,77.98,30.78,2.08
292,Amarante do Maranhao,91,BR,1577731692,51,-5.57,-46.74,89.73,0.49
293,Mayumba,53,GA,1577731704,80,-3.44,10.65,81.97,8.41
294,Tommot,100,RU,1577731706,97,58.97,126.27,-27.81,1.21
295,Bosaso,11,SO,1577731708,83,11.28,49.18,78.85,15.7
296,Galveston,96,US,1577731710,69,40.58,-86.19,35.6,16.11
297,Eirunepe,76,BR,1577731711,45,-6.66,-69.87,93.07,2.57
298,Muisne,75,EC,1577731712,66,0.61,-80.02,87.8,10.29
299,Cabra,0,ES,1577731714,76,37.47,-4.43,51.8,1.66
300,Necochea,100,AR,1577731715,80,-38.55,-58.74,70.47,13.18
301,Selaphum,49,TH,1577731716,74,16.03,103.94,71.02,15.26
302,Vallenar,0,CL,1577731717,48,-28.58,-70.76,73.96,12.73
303,Huambo,67,AO,1577731719,94,-12.78,15.73,63.97,5.79
304,Aswan,12,EG,1577731720,34,24.09,32.9,61.7,8.79
305,Borujerd,17,IR,1577731721,72,33.89,48.76,31.42,6.82
306,Ozinki,0,RU,1577731723,89,51.2,49.73,13.86,7.63
307,Fairbanks,90,US,1577731704,84,64.84,-147.72,7.0,5.82
308,Kavaratti,79,IN,1577731726,68,10.57,72.64,82.62,0.56
309,Maitum,81,PH,1577731728,75,6.06,124.5,77.85,3.27
310,Cascais,20,PT,1577731730,93,38.7,-9.42,57.0,3.36
311,Mahebourg,75,MU,1577731731,94,-20.41,57.7,79.0,27.51
312,Skoghall,99,SE,1577731732,70,59.32,13.47,45.0,9.17
313,Kodiak,90,US,1577731733,68,39.95,-94.76,33.01,20.8
314,Sinnamary,90,GF,1577731735,76,5.38,-52.96,79.86,18.66
315,Zabol,2,IR,1577731736,50,31.03,61.49,48.2,11.41
316,Sorong,100,ID,1577731737,94,-0.86,131.25,73.9,2.06
317,Ust-Nera,81,RU,1577731738,100,64.57,143.24,-34.38,2.04
318,Aguimes,51,ES,1577731739,40,27.91,-15.45,71.01,6.93
319,Broome,0,GB,1577731741,87,52.47,1.45,46.0,3.36
320,Barhi,0,IN,1577731742,93,24.31,85.42,41.0,3.29
321,Tura,25,RU,1577731744,91,64.27,100.22,-27.87,4.36
322,Middle Island,90,US,1577731746,87,40.88,-72.94,43.0,9.17
323,Ha Giang,100,VN,1577731749,84,22.83,104.99,58.86,1.19
324,Pacific Grove,1,US,1577731500,71,36.62,-121.92,55.99,8.05
325,Mazagao,75,BR,1577731751,89,-0.12,-51.29,84.2,9.17
326,Coquimbo,40,CL,1577731753,68,-29.95,-71.34,66.2,12.75
327,Salinas,1,US,1577731754,87,36.67,-121.66,55.99,3.8
328,Kutum,0,SD,1577731755,18,14.2,24.66,63.09,7.02
329,Sangar,0,RU,1577731756,96,63.92,127.47,-34.31,4.56
330,Cleveland,90,US,1577731670,69,41.51,-81.69,45.0,17.22
331,Makakilo City,20,US,1577731759,73,21.35,-158.09,78.01,4.7
332,Vershino-Darasunskiy,100,RU,1577731760,96,52.35,115.52,-15.38,2.95
333,Takoradi,0,GH,1577731762,75,4.89,-1.75,83.17,11.83
334,Tual,75,ID,1577731763,77,-5.67,132.75,83.43,8.77
335,Labytnangi,89,RU,1577731764,83,66.66,66.39,10.96,11.39
336,Myitkyina,17,MM,1577731766,61,25.38,97.4,53.08,3.98
337,Narragansett,90,US,1577731768,93,41.45,-71.45,39.2,21.92
338,Ocean Springs,1,US,1577731770,41,30.41,-88.83,61.0,9.17
339,Aksu,97,KZ,1577731771,84,52.04,76.93,1.4,8.95
340,Yumen,0,CN,1577731772,62,40.29,97.04,11.55,11.18
341,Chulman,98,RU,1577731774,100,56.84,124.9,-38.31,0.54
342,Abtenau,20,AT,1577731775,64,47.56,13.35,37.4,12.75
343,Kenai,90,US,1577731776,86,60.55,-151.26,33.8,18.34
344,Paciran,100,ID,1577731777,85,-6.9,112.33,76.28,4.59
345,Lompoc,1,US,1577731779,62,34.64,-120.46,60.01,6.93
346,Frankfort,90,US,1577731683,74,38.2,-84.87,45.0,19.46
347,Shelburne,90,CA,1577731781,93,44.08,-80.2,46.99,4.7
348,Padang,83,ID,1577731782,95,-0.92,100.36,68.47,4.79
349,Kotagiri,20,IN,1577731784,73,11.42,76.87,75.2,2.24
350,Greenville,1,US,1577731786,33,34.85,-82.4,66.2,11.41
351,Luanda,20,AO,1577731788,78,-8.83,13.24,82.4,10.29
352,Atikokan,100,CA,1577731790,90,48.76,-91.62,17.4,11.5
353,Cabo San Lucas,20,MX,1577731716,68,22.89,-109.91,72.0,5.82
354,Okakarara,100,NA,1577731792,68,-20.59,17.46,71.89,11.39
355,Formosa,45,BR,1577731793,68,-15.55,-47.33,79.52,2.59
356,Kerema,81,PG,1577731795,88,-7.96,145.78,75.16,2.15
357,Kahului,1,US,1577731606,72,20.89,-156.47,72.0,4.7
358,Biu,85,NG,1577731797,21,10.61,12.19,73.74,8.05
359,Shenzhen,20,CN,1577731704,77,22.54,114.05,72.0,12.75
360,Kavieng,8,PG,1577731800,71,-2.57,150.8,84.11,8.7
361,Inta,100,RU,1577731801,81,66.04,60.13,13.35,24.87
362,Kajaani,90,FI,1577731803,88,64.22,27.73,35.6,12.75
363,Ostrovnoy,100,RU,1577731804,82,68.05,39.51,28.4,18.32
364,Tshikapa,81,CD,1577731806,89,-6.42,20.79,72.45,2.15
365,Charters Towers,3,AU,1577731808,92,-20.07,146.27,71.22,3.78
366,Abadan,32,IR,1577731810,72,30.36,48.26,62.6,9.17
367,West Wendover,90,US,1577731811,86,40.74,-114.07,32.0,2.46
368,Bixby,1,US,1577731812,30,35.94,-95.88,46.99,13.87
369,Doka,21,SD,1577731814,22,13.52,35.76,78.13,8.97
370,Hokitika,22,NZ,1577731815,87,-42.72,170.96,56.55,4.38
371,Hibbing,90,US,1577731584,85,47.43,-92.94,23.0,16.11
372,Beringovskiy,30,RU,1577731818,96,63.05,179.32,-16.28,18.97
373,Bulawayo,33,ZW,1577731819,32,-20.16,28.59,79.95,10.98
374,Qaqortoq,5,GL,1577731820,56,60.72,-46.03,15.8,4.7
375,Haljala,97,EE,1577731821,79,59.43,26.27,41.43,15.84
